DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY			SEQUENCE	CHANGE
12/14/2018	30323354	Lee JY	10/15/2018	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	"BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts."	BRCA1/2-negative high-risk breast cancer	"1,469 Korean ancestry cases, 5,979 Korean ancestry controls"	NA	6q23.3	6	135969804	PDE7B	PDE7B			ENSG00000171408			rs11154838-C	rs11154838	0	11154838	intron_variant	0	0.75	1E-6	6		1.27	[1.15-1.40]	"Affymetrix, Illumina [3378933] (imputed)"	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array				
12/14/2018	30323354	Lee JY	10/15/2018	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	"BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts."	BRCA1/2-negative high-risk breast cancer	"1,469 Korean ancestry cases, 5,979 Korean ancestry controls"	NA	6q25.1	6	151623479	"CCDC170, ESR1"	CCDC170 - ESR1	ENSG00000120262	ENSG00000091831		2286	33212	rs9383936-A	rs9383936	0	9383936	intergenic_variant	1	0.34	1E-10	10		1.35	[1.23-1.48]	"Affymetrix, Illumina [3378933] (imputed)"	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array				
12/14/2018	30323354	Lee JY	10/15/2018	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	"BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts."	BRCA1/2-negative high-risk breast cancer	"1,469 Korean ancestry cases, 5,979 Korean ancestry controls"	NA	7q21.3	7	93992935	BET1	"BET1, BET1-AS1"			"ENSG00000105829, ENSG00000236861"			rs10953105-G	rs10953105	0	10953105	intron_variant	0	0.88	1E-6	6		1.37	[1.21-1.56]	"Affymetrix, Illumina [3378933] (imputed)"	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array				
12/14/2018	30323354	Lee JY	10/15/2018	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	"BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts."	BRCA1/2-negative high-risk breast cancer	"1,469 Korean ancestry cases, 5,979 Korean ancestry controls"	NA	8q12.3	8	61692700	ASPH	ASPH			ENSG00000198363			rs2350923-T	rs2350923	0	2350923	intron_variant	0	0.76	8E-7	6.096910013008056		1.28	[1.16-1.42]	"Affymetrix, Illumina [3378933] (imputed)"	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array				
12/14/2018	30323354	Lee JY	10/15/2018	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	"BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts."	BRCA1/2-negative high-risk breast cancer	"1,469 Korean ancestry cases, 5,979 Korean ancestry controls"	NA	9p21.3	9	21995942	CDKN2B-AS1	CDKN2B-AS1			ENSG00000240498			rs78545330-A	rs78545330	0	78545330	non_coding_transcript_exon_variant	0	0.26	3E-6	5.522878745280337		1.26	[1.14-1.39]	"Affymetrix, Illumina [3378933] (imputed)"	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array				
12/14/2018	30323354	Lee JY	10/15/2018	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	"BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts."	BRCA1/2-negative high-risk breast cancer	"1,469 Korean ancestry cases, 5,979 Korean ancestry controls"	NA	9p13.3	9	34129841	DCAF12	DCAF12 - UBAP1	ENSG00000198876	ENSG00000165006		2442	49164	rs10814070-T	rs10814070	0	10814070	intergenic_variant	1	0.75	2E-6	5.698970004336019		1.26	[1.15-1.39]	"Affymetrix, Illumina [3378933] (imputed)"	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array				
12/14/2018	30323354	Lee JY	10/15/2018	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	"BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts."	BRCA1/2-negative high-risk breast cancer	"1,469 Korean ancestry cases, 5,979 Korean ancestry controls"	NA	10q26.13	10	121589148	FGFR2	FGFR2			ENSG00000066468			rs2912774-T	rs2912774	0	2912774	intron_variant	0	0.42	6E-7	6.221848749616356		1.25	[1.14-1.36]	"Affymetrix, Illumina [3378933] (imputed)"	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array				
12/14/2018	30323354	Lee JY	10/15/2018	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	"BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts."	BRCA1/2-negative high-risk breast cancer	"1,469 Korean ancestry cases, 5,979 Korean ancestry controls"	NA	10q26.2	10	127011685	DOCK1	DOCK1			ENSG00000150760			rs9418690-C	rs9418690	0	9418690	intron_variant	0	0.76	1E-6	6		1.28	[1.16-1.41]	"Affymetrix, Illumina [3378933] (imputed)"	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array				
12/14/2018	30323354	Lee JY	10/15/2018	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	"BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts."	BRCA1/2-negative high-risk breast cancer	"1,469 Korean ancestry cases, 5,979 Korean ancestry controls"	NA	12p11.23	12	26617956	ITPR2	ITPR2			ENSG00000123104			rs4964006-T	rs4964006	0	4964006	intron_variant	0	0.98	2E-6	5.698970004336019		1.96	[1.49-2.58]	"Affymetrix, Illumina [3378933] (imputed)"	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array				
12/14/2018	30323354	Lee JY	10/15/2018	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	"BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts."	BRCA1/2-negative high-risk breast cancer	"1,469 Korean ancestry cases, 5,979 Korean ancestry controls"	NA	12q22	12	95623181	"PGAM1P5, NTN4"	PGAM1P5			ENSG00000257150			rs67129489-G	rs67129489	0	67129489	intron_variant	0	0.15	9E-7	6.045757490560675		1.36	[1.20-1.53]	"Affymetrix, Illumina [3378933] (imputed)"	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array				
12/14/2018	30323354	Lee JY	10/15/2018	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	"BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts."	BRCA1/2-negative high-risk breast cancer	"1,469 Korean ancestry cases, 5,979 Korean ancestry controls"	NA	13q12.3	13	29862831	Intergenic	UBL3 - Metazoa_SRP	ENSG00000122042	ENSG00000274701		12214	1541	rs278050-C	rs278050	0	278050	intergenic_variant	1	0.21	4E-6	5.3979400086720375		1.28	[1.15-1.42]	"Affymetrix, Illumina [3378933] (imputed)"	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array				
12/14/2018	30323354	Lee JY	10/15/2018	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	"BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts."	BRCA1/2-negative high-risk breast cancer	"1,469 Korean ancestry cases, 5,979 Korean ancestry controls"	NA	16q12.1	16	52565276	TOX3	CASC16			ENSG00000249231			rs4784227-T	rs4784227	0	4784227	intron_variant	0	0.32	9E-9	8.045757490560675		1.31	[1.19-1.44]	"Affymetrix, Illumina [3378933] (imputed)"	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array				
12/14/2018	30323354	Lee JY	10/15/2018	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	"BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts."	BRCA1/2-negative high-risk breast cancer	"1,469 Korean ancestry cases, 5,979 Korean ancestry controls"	NA	17q25.1	17	72983988	SLC39A11	SLC39A11			ENSG00000133195			rs4969001-T	rs4969001	0	4969001	intron_variant	0	0.86	7E-6	5.154901959985743		1.32	[1.17-1.49]	"Affymetrix, Illumina [3378933] (imputed)"	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array				
12/14/2018	30323354	Lee JY	10/15/2018	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	"BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts."	BRCA1/2-negative high-risk breast cancer	"1,469 Korean ancestry cases, 5,979 Korean ancestry controls"	NA	20q11.23	20	37635373	Intergenic	LINC00489 - CTNNBL1	ENSG00000225759	ENSG00000132792		12254	58582	rs73107564-A	rs73107564	0	73107564	intergenic_variant	1	0.89	2E-7	6.698970004336019		1.43	[1.25-1.63]	"Affymetrix, Illumina [3378933] (imputed)"	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array				
12/14/2018	30323354	Lee JY	10/15/2018	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	"BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts."	BRCA1/2-negative high-risk breast cancer	"1,469 Korean ancestry cases, 5,979 Korean ancestry controls"	NA	3q25.1	3	150750021	SIAH2	SIAH2			ENSG00000181788			rs6788895-G	rs6788895	0	6788895	intron_variant	0	0.6	2E-6	5.698970004336019		1.23	[NR]	"Affymetrix, Illumina [3378933] (imputed)"	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array				
12/14/2018	30323354	Lee JY	10/15/2018	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	"BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts."	BRCA1/2-negative high-risk breast cancer	"1,469 Korean ancestry cases, 5,979 Korean ancestry controls"	NA	6q25.1	6	151627231	"CCDC170, ESR1"	CCDC170 - ESR1	ENSG00000120262	ENSG00000091831		6038	29460	rs2046210-A	rs2046210	0	2046210	regulatory_region_variant	1	0.36	1E-9	9		1.3	[NR]	"Affymetrix, Illumina [3378933] (imputed)"	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array				
12/14/2018	30323354	Lee JY	10/15/2018	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	"BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts."	BRCA1/2-negative high-risk breast cancer	"1,469 Korean ancestry cases, 5,979 Korean ancestry controls"	NA	10q26.13	10	121586602	FGFR2	FGFR2			ENSG00000066468			rs2981575-G	rs2981575	0	2981575	intron_variant	0	0.43	2E-8	7.698970004336019		1.27	[NR]	"Affymetrix, Illumina [3378933] (imputed)"	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array				
12/14/2018	30323354	Lee JY	10/15/2018	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	"BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts."	BRCA1/2-negative high-risk breast cancer	"1,469 Korean ancestry cases, 5,979 Korean ancestry controls"	NA	16q12.1	16	52565276	"CASC16, TOX3"	CASC16			ENSG00000249231			rs4784227-T	rs4784227	0	4784227	intron_variant	0	0.26	2E-9	8.698970004336019		1.31	[NR]	"Affymetrix, Illumina [3378933] (imputed)"	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array				
10/22/2021	34407845	Morra A	8/18/2021	Breast Cancer Res	www.ncbi.nlm.nih.gov/pubmed/34407845	Association of germline genetic variants with breast cancer-specific survival in patient subgroups defined by clinic-pathological variables related to tumor biology and type of systemic treatment.	15-year breast cancer-specific survival (ER negative treated with chemotherapy)	"6,852 European ancestry individuals"	NA	3p25.1	3	14520620		GRIP2			ENSG00000144596			rs1106333-?	rs1106333	0	1106333	intron_variant	0	NR	6E-8	7.221848749616356		1.68	[1.39-2.03]	NR [10000000] (imputed)	N	"estrogen-receptor negative breast cancer, survival time, breast carcinoma, response to antineoplastic agent"	"http://www.ebi.ac.uk/efo/EFO_1000650, http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_0000305, http://purl.obolibrary.org/obo/GO_0097327"	GCST90029046	Genome-wide genotyping array				
10/22/2021	34407845	Morra A	8/18/2021	Breast Cancer Res	www.ncbi.nlm.nih.gov/pubmed/34407845	Association of germline genetic variants with breast cancer-specific survival in patient subgroups defined by clinic-pathological variables related to tumor biology and type of systemic treatment.	5-year breast cancer-specific survival (ER negative treated with chemotherapy)	"6,411 European ancestry individuals"	NA	4p14	4	35960832		ARAP2			ENSG00000047365			rs78754389-?	rs78754389	0	78754389	intron_variant	0	NR	2E-8	7.698970004336019		1.79	[1.46-2.2]	NR [10000000] (imputed)	N	"estrogen-receptor negative breast cancer, survival time, breast carcinoma, response to antineoplastic agent"	"http://www.ebi.ac.uk/efo/EFO_1000650, http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_0000305, http://purl.obolibrary.org/obo/GO_0097327"	GCST90029059	Genome-wide genotyping array				
10/22/2021	34407845	Morra A	8/18/2021	Breast Cancer Res	www.ncbi.nlm.nih.gov/pubmed/34407845	Association of germline genetic variants with breast cancer-specific survival in patient subgroups defined by clinic-pathological variables related to tumor biology and type of systemic treatment.	5-year breast cancer-specific survival (ER negative treated with chemotherapy)	"6,411 European ancestry individuals"	NA	8p21.2	8	27131567		MIR548H4 - STMN4	ENSG00000221616	ENSG00000015592		82604	103741	rs117685664-?	rs117685664	0	117685664	intergenic_variant	1	NR	5E-8	7.301029995663981		0.26	[0.16-0.42]	NR [10000000] (imputed)	N	"estrogen-receptor negative breast cancer, survival time, breast carcinoma, response to antineoplastic agent"	"http://www.ebi.ac.uk/efo/EFO_1000650, http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_0000305, http://purl.obolibrary.org/obo/GO_0097327"	GCST90029059	Genome-wide genotyping array				
10/19/2021	34616010	Quintanilha JCF	10/6/2021	Br J Cancer	www.ncbi.nlm.nih.gov/pubmed/34616010	Bevacizumab-induced hypertension and proteinuria: a genome-wide study of more than 1000 patients.	Bevacizumab-induced hypertension	"1,039 European ancestry individuals"	NA	3q25.31	3	156314389	KCNAB1	KCNAB1			ENSG00000169282			rs6770663-G	rs6770663	0	6770663	intron_variant	0	0.09	4E-6	5.3979400086720375		0.58	[0.33-0.83] unit increase	Illumina [833710]	N	"response to bevacizumab, hypertension"	"http://www.ebi.ac.uk/efo/EFO_0005943, http://www.ebi.ac.uk/efo/EFO_0000537"	GCST90026609	Genome-wide genotyping array				
10/19/2021	34616010	Quintanilha JCF	10/6/2021	Br J Cancer	www.ncbi.nlm.nih.gov/pubmed/34616010	Bevacizumab-induced hypertension and proteinuria: a genome-wide study of more than 1000 patients.	Bevacizumab-induced hypertension	"1,039 European ancestry individuals"	NA	4p15.2	4	24995076	intergenic	CCDC149 - LGI2	ENSG00000181982	ENSG00000153012		14872	3771	rs13135230-A	rs13135230	0	13135230	intergenic_variant	1	0.28	1E-6	6		0.47	[0.27-0.67] unit increase	Illumina [833710]	N	"response to bevacizumab, hypertension"	"http://www.ebi.ac.uk/efo/EFO_0005943, http://www.ebi.ac.uk/efo/EFO_0000537"	GCST90026609	Genome-wide genotyping array				
10/20/2021	34616010	Quintanilha JCF	10/6/2021	Br J Cancer	www.ncbi.nlm.nih.gov/pubmed/34616010	Bevacizumab-induced hypertension and proteinuria: a genome-wide study of more than 1000 patients.	Bevacizumab-induced composite toxicity (either hypertension or proteinuria)	"1,039 European ancestry individuals"	NA	17p13.3	17	1391192	YWHAE	YWHAE			ENSG00000108953			rs16945809-A	rs16945809	0	16945809	intron_variant	0	0.06	2E-6	5.698970004336019		0.94	unit increase	Illumina [828141]	N	"response to bevacizumab, hypertension, Proteinuria"	"http://www.ebi.ac.uk/efo/EFO_0005943, http://www.ebi.ac.uk/efo/EFO_0000537, http://purl.obolibrary.org/obo/HP_0000093"	GCST90026611	Genome-wide genotyping array				
10/20/2021	34616010	Quintanilha JCF	10/6/2021	Br J Cancer	www.ncbi.nlm.nih.gov/pubmed/34616010	Bevacizumab-induced hypertension and proteinuria: a genome-wide study of more than 1000 patients.	Bevacizumab-induced composite toxicity (either hypertension or proteinuria)	"1,039 European ancestry individuals"	NA	9q22.2	9	90129014	intergenic	IL6RP1 - OR7E31P	ENSG00000234910	ENSG00000185074		46445	87025	rs7038808-?	rs7038808	0	7038808	intergenic_variant	1	0.15	5E-6	5.301029995663981		0.85	unit increase	Illumina [828141]	N	"response to bevacizumab, hypertension, Proteinuria"	"http://www.ebi.ac.uk/efo/EFO_0005943, http://www.ebi.ac.uk/efo/EFO_0000537, http://purl.obolibrary.org/obo/HP_0000093"	GCST90026611	Genome-wide genotyping array				
